Date,Resting HR,Sleep Score,Stress,Body Battery High,Body Battery Low,Weight
2022-04-25,56,75,30,53,15,
2022-04-26,53,86,25,79,24,
2022-04-27,54,86,24,87,32,
2022-04-28,52,81,17,84,36,
2022-04-29,51,91,17,100,47,
2022-04-30,50,86,24,100,35,
2022-05-01,53,87,25,87,40,
2022-05-02,51,86,20,88,38,
2022-05-03,52,85,29,98,18,
2022-05-04,52,51,26,52,16,
2022-05-05,51,81,24,96,23,
2022-05-06,52,75,23,83,28,
2022-05-07,56,70,34,72,21,
2022-05-08,54,78,27,68,21,54.7
2022-05-09,50,82,20,79,29,
2022-05-10,52,92,19,100,37,
2022-05-11,51,92,20,95,37,
2022-05-12,51,85,26,95,28,
2022-05-13,51,91,23,97,30,
2022-05-14,55,83,28,83,29,
2022-05-15,53,78,23,89,33,
2022-05-16,52,78,18,91,35,
2022-05-17,50,94,23,100,30,
2022-05-18,50,83,22,89,32,
2022-05-19,51,85,23,92,32,
2022-05-20,54,23,34,51,9,
2022-05-21,55,78,29,68,12,
2022-05-22,55,82,35,77,9,
2022-05-23,59,78,28,53,16,
2022-05-24,53,78,22,84,25,
2022-05-25,49,74,34,86,14,
2022-05-26,53,85,25,74,20,
2022-05-27,52,78,25,70,31,
2022-05-28,54,79,26,74,37,
2022-05-29,56,82,25,81,28,
2022-05-30,52,73,25,65,30,
2022-05-31,54,83,27,89,33,
2022-06-01,55,74,26,75,33,
2022-06-02,60,71,31,65,19,
2022-06-03,55,83,24,73,21,
2022-06-04,55,84,40,78,11,
2022-06-05,59,32,36,39,10,
2022-06-06,50,77,20,87,23,
2022-06-07,53,77,26,84,21,
2022-06-08,53,80,24,78,24,
2022-06-09,52,84,23,85,28,
2022-06-10,47,81,19,98,33,
2022-06-11,51,87,31,95,13,
2022-06-12,51,84,29,84,16,53.599
2022-06-13,54,86,27,69,21,
2022-06-14,52,88,19,87,32,
2022-06-15,52,85,22,98,31,
2022-06-16,54,78,26,75,27,
2022-06-17,52,83,22,92,24,
2022-06-18,54,79,25,72,24,
2022-06-19,51,80,31,96,13,
2022-06-20,55,71,25,57,13,
2022-06-21,55,68,38,62,6,
2022-06-22,53,74,21,70,12,
2022-06-23,53,79,23,80,31,
2022-06-24,51,86,27,95,26,
2022-06-25,50,91,24,100,31,
2022-06-26,58,78,36,72,9,53.4
2022-06-27,55,87,25,69,25,
2022-06-28,54,80,22,81,27,
2022-06-29,54,78,26,77,25,
2022-06-30,54,75,23,77,23,
2022-07-01,49,80,28,88,16,
2022-07-02,54,76,27,84,19,
2022-07-03,54,76,31,75,15,
2022-07-04,50,89,23,92,28,
2022-07-05,56,74,34,75,15,
2022-07-06,60,33,35,39,5,
2022-07-07,56,76,29,80,24,
2022-07-08,52,77,22,98,30,
2022-07-09,53,78,23,91,36,
2022-07-10,52,66,25,92,24,
2022-07-11,51,66,20,76,26,
2022-07-12,48,80,17,95,37,
2022-07-13,48,87,19,100,36,
2022-07-14,50,77,20,83,36,
2022-07-15,47,83,20,100,36,
2022-07-16,47,89,28,100,17,
2022-07-17,52,79,28,76,19,51.2
2022-07-18,55,76,27,75,27,
2022-07-19,53,76,21,83,39,
2022-07-20,54,71,23,79,32,
2022-07-21,53,80,23,86,27,
2022-07-22,56,24,42,45,6,
2022-07-23,55,79,30,76,13,
2022-07-24,52,71,29,75,14,
2022-07-25,55,74,28,69,18,
2022-07-26,55,70,34,67,12,
2022-07-27,53,78,24,63,15,
2022-07-28,51,89,24,99,27,
2022-07-29,51,75,26,70,26,
2022-07-30,53,87,34,82,12,
2022-07-31,52,72,36,62,6,
2022-08-01,51,83,19,68,18,
2022-08-02,48,86,22,100,31,
2022-08-03,52,71,26,79,22,
2022-08-04,52,73,24,73,25,
2022-08-05,50,75,28,96,20,
2022-08-06,55,65,32,56,13,
2022-08-07,50,77,20,79,16,
2022-08-08,53,86,28,91,23,
2022-08-09,55,74,24,65,23,
2022-08-10,54,85,33,84,13,
2022-08-11,54,78,25,68,17,
2022-08-12,53,79,26,78,27,
2022-08-13,52,80,29,77,17,
2022-08-14,56,81,39,66,5,
2022-08-15,57,49,33,47,5,
2022-08-16,53,55,25,45,13,
2022-08-17,52,85,26,93,32,
2022-08-18,51,86,25,90,28,
2022-08-19,52,76,27,74,27,
2022-08-20,50,91,28,100,18,
2022-08-21,51,78,29,79,16,50.5
2022-08-22,55,68,27,58,23,
2022-08-23,51,81,18,86,32,
2022-08-24,50,84,22,100,28,
2022-08-25,51,81,24,86,28,
2022-08-26,51,79,21,86,29,
2022-08-27,50,90,28,96,30,
2022-08-28,55,74,41,68,5,
2022-08-29,54,81,22,61,8,
2022-08-30,49,82,19,99,36,
2022-08-31,49,80,21,99,32,
2022-09-01,47,79,21,97,35,
2022-09-02,51,78,22,93,36,
2022-09-03,51,88,29,100,16,
2022-09-04,50,78,28,74,11,50.7
2022-09-05,52,83,18,84,22,
2022-09-06,47,80,24,97,26,
2022-09-07,51,78,20,85,28,
2022-09-08,53,67,27,80,31,
2022-09-09,50,79,23,83,35,
2022-09-10,42,88,23,100,38,
2022-09-11,48,83,34,100,9,
2022-09-12,53,60,23,46,11,
2022-09-13,50,74,18,94,36,
2022-09-14,53,81,25,90,31,
2022-09-15,50,84,19,93,40,
2022-09-16,50,87,21,100,42,
2022-09-17,53,82,38,84,5,
2022-09-18,53,65,27,30,5,50.2
2022-09-19,52,82,27,86,18,
2022-09-20,49,79,18,72,20,
2022-09-21,37,88,16,98,48,
2022-09-22,44,75,16,95,41,
2022-09-23,47,83,17,98,42,
2022-09-24,43,83,18,98,34,
2022-09-25,46,94,26,100,14,
2022-09-26,45,71,28,69,14,
2022-09-27,47,84,18,92,28,
2022-09-28,46,90,18,100,41,
2022-09-29,45,84,17,100,39,
2022-09-30,49,78,22,89,29,
2022-10-01,50,77,24,75,33,
2022-10-02,47,88,23,100,30,
2022-10-03,51,74,26,66,29,
2022-10-04,49,79,19,92,34,
2022-10-05,48,82,26,93,21,
2022-10-06,51,68,26,64,20,
2022-10-07,49,88,21,90,30,
2022-10-08,51,89,32,88,16,
2022-10-09,53,73,32,50,5,
2022-10-10,47,82,28,88,6,
2022-10-11,54,52,25,55,18,
2022-10-12,48,79,23,92,24,
2022-10-13,52,81,26,70,34,
2022-10-14,45,,23,90,41,
2022-10-15,49,85,28,87,24,
2022-10-16,51,79,28,78,15,51.799
2022-10-17,51,75,27,59,19,
2022-10-18,48,80,23,78,26,
2022-10-19,46,86,21,99,34,
2022-10-20,52,84,26,78,26,
2022-10-21,50,84,23,81,28,
2022-10-22,51,80,30,85,22,
2022-10-23,54,80,33,65,12,
2022-10-24,53,65,27,66,18,
2022-10-25,49,79,25,79,28,
2022-10-26,51,83,26,88,25,
2022-10-27,51,84,24,80,32,
2022-10-28,38,0,35,50,22,
2022-10-29,50,88,35,86,14,50.4
2022-10-30,53,77,36,55,9,
2022-10-31,53,65,30,46,13,
2022-11-01,48,92,24,98,23,
2022-11-02,49,75,25,83,24,
2022-11-03,47,80,36,87,10,
2022-11-04,45,84,21,89,9,
2022-11-05,48,85,27,79,33,
2022-11-06,49,96,27,92,23,
2022-11-07,50,66,28,70,20,
2022-11-08,48,65,23,78,20,
2022-11-09,49,85,25,90,25,
2022-11-10,45,83,19,99,34,
2022-11-11,43,87,20,100,36,
2022-11-12,49,86,35,81,15,
2022-11-13,50,69,29,58,14,
2022-11-14,51,79,24,76,22,
2022-11-15,51,84,27,84,22,
2022-11-16,48,76,29,85,17,
2022-11-17,52,86,28,73,25,
2022-11-18,50,81,24,85,29,
2022-11-19,47,80,30,83,14,51.5
2022-11-20,50,88,29,82,16,
2022-11-21,47,87,22,70,19,
2022-11-22,47,85,23,100,29,
2022-11-23,52,78,25,68,27,
2022-11-24,47,79,25,98,27,
2022-11-25,46,83,22,89,33,
2022-11-26,49,83,33,84,17,
2022-11-27,51,86,28,73,16,
2022-11-28,51,83,22,81,24,
2022-11-29,51,82,25,89,26,
2022-11-30,50,75,21,82,26,
2022-12-01,47,94,21,92,35,
2022-12-02,49,83,22,90,33,
2022-12-03,49,89,28,78,23,
2022-12-04,50,89,26,84,24,51.099
2022-12-05,53,81,22,75,28,
2022-12-06,49,86,22,96,34,
2022-12-07,53,72,25,67,31,
2022-12-08,51,79,22,77,31,
2022-12-09,50,81,22,82,33,
2022-12-10,48,91,24,99,29,
2022-12-11,48,86,37,94,9,
2022-12-12,52,49,26,40,9,
2022-12-13,53,88,24,85,34,
2022-12-14,52,73,30,67,21,
2022-12-15,51,77,27,65,23,
2022-12-16,50,81,21,87,36,
2022-12-17,50,86,26,81,24,
2022-12-18,50,84,29,78,25,
2022-12-19,51,82,25,68,34,
2022-12-20,48,85,21,86,39,
2022-12-21,48,81,29,87,19,
2022-12-22,50,81,26,68,23,
2022-12-23,51,80,27,75,22,
2022-12-24,52,78,33,61,18,
2022-12-25,52,87,26,71,26,
2022-12-26,51,88,24,75,28,
2022-12-27,54,83,31,80,25,
2022-12-28,49,76,32,72,14,
2022-12-29,53,85,29,67,16,
2022-12-30,52,86,27,76,26,
2022-12-31,50,86,28,70,24,
2023-01-01,50,85,39,74,15,
2023-01-02,54,80,28,63,22,
2023-01-03,50,81,24,83,30,
2023-01-04,51,85,26,81,32,
2023-01-05,50,85,23,94,28,
2023-01-06,51,84,22,81,30,
2023-01-07,48,84,30,95,15,51.099
2023-01-08,54,82,26,59,21,
2023-01-09,51,83,32,71,21,
2023-01-10,54,48,24,50,23,
2023-01-11,48,80,20,81,32,
2023-01-12,50,83,25,97,29,
2023-01-13,51,73,31,65,22,
2023-01-14,49,87,31,75,25,
2023-01-15,52,90,26,86,28,
2023-01-16,50,73,23,74,30,
2023-01-17,50,86,25,96,26,
2023-01-18,52,74,27,65,24,
2023-01-19,50,76,23,73,30,
2023-01-20,51,87,23,92,34,
2023-01-21,51,87,29,79,17,
2023-01-22,49,85,24,83,27,52.7
2023-01-23,51,78,29,74,27,
2023-01-24,50,77,28,69,29,
2023-01-25,47,83,23,84,34,
2023-01-26,43,86,20,100,28,
2023-01-27,53,65,32,58,16,
2023-01-28,53,78,27,76,21,
2023-01-29,51,81,37,75,9,
2023-01-30,52,71,22,49,9,
2023-01-31,50,84,20,95,29,
2023-02-01,50,86,27,93,28,
2023-02-02,51,80,28,69,26,
2023-02-03,52,84,27,75,33,
2023-02-04,53,80,26,66,29,
2023-02-05,55,85,30,81,22,
2023-02-06,51,83,23,82,22,
2023-02-07,51,84,20,94,34,53.4
2023-02-08,49,80,20,87,30,
2023-02-09,48,80,21,83,38,
2023-02-10,48,78,18,92,43,
2023-02-11,47,84,27,100,28,
2023-02-12,52,44,34,56,32,
2023-02-13,52,86,24,77,37,
2023-02-14,52,85,22,86,40,
2023-02-15,49,84,26,98,34,
2023-02-16,53,82,25,83,31,
2023-02-17,55,83,27,81,31,
2023-02-18,53,84,25,76,32,
2023-02-19,54,79,28,68,32,
2023-02-20,51,85,24,69,37,
2023-02-21,51,85,24,78,34,
2023-02-22,52,91,21,87,32,
2023-02-23,52,79,24,77,30,
2023-02-24,49,81,21,87,35,
2023-02-25,52,73,27,68,22,
2023-02-26,53,85,27,73,25,
2023-02-27,53,82,25,75,31,
2023-02-28,52,73,24,69,30,
2023-03-01,50,88,28,91,22,
2023-03-02,53,77,23,74,26,
2023-03-03,54,75,23,85,28,
2023-03-04,56,79,33,70,15,
2023-03-05,54,87,26,78,15,
2023-03-06,52,81,25,87,25,
2023-03-07,54,46,27,52,13,
2023-03-08,57,78,34,59,13,
2023-03-09,51,86,22,76,20,
2023-03-10,52,76,21,87,32,
2023-03-11,54,84,29,79,18,
2023-03-12,51,85,23,77,28,
2023-03-13,53,88,21,91,34,
2023-03-14,53,77,23,79,34,
2023-03-15,51,75,20,82,33,53.599
2023-03-16,52,80,23,81,34,
2023-03-17,51,70,25,71,26,
2023-03-18,49,54,28,58,33,
2023-03-19,51,85,21,97,30,
2023-03-20,52,74,38,71,5,
2023-03-21,55,73,24,52,5,
2023-03-22,48,88,21,96,8,
2023-03-23,48,73,29,100,27,
2023-03-24,50,74,21,78,33,
2023-03-25,55,69,42,58,16,
2023-03-26,55,,41,58,8,
2023-03-27,52,83,19,81,13,
2023-03-28,53,71,21,85,33,
2023-03-29,56,44,50,57,5,
2023-03-30,53,27,28,72,30,
2023-03-31,52,74,24,74,38,
2023-04-01,50,92,37,98,20,
2023-04-02,52,91,26,93,19,
2023-04-03,52,73,16,79,17,
2023-04-04,50,96,19,100,39,
2023-04-05,50,84,20,91,45,
2023-04-06,50,77,23,91,37,
2023-04-07,54,86,25,84,24,
2023-04-08,51,76,20,83,29,50.299
2023-04-09,53,84,33,83,8,
2023-04-10,55,30,39,21,5,
2023-04-11,52,78,18,51,5,
2023-04-12,51,79,20,96,37,
2023-04-13,53,86,23,91,32,
2023-04-14,54,78,24,72,29,
2023-04-15,52,73,22,94,43,
2023-04-16,51,84,24,96,34,
2023-04-17,50,84,22,93,32,
2023-04-18,49,86,17,100,44,
2023-04-19,51,81,23,96,28,
2023-04-20,54,84,31,84,15,
2023-04-21,53,80,21,68,19,
2023-04-22,53,74,31,90,23,
2023-04-23,49,86,21,90,33,
2023-04-24,52,86,20,96,40,
2023-04-25,53,88,21,86,38,
2023-04-26,52,79,18,90,38,
2023-04-27,51,82,24,92,27,
2023-04-28,48,84,19,94,37,
2023-04-29,55,82,34,87,21,52.799
2023-04-30,52,85,23,88,24,
2023-05-01,51,84,19,94,39,
2023-05-02,50,88,19,100,37,
2023-05-03,54,77,26,81,16,
2023-05-04,50,83,20,83,19,
2023-05-05,46,92,16,100,42,
2023-05-06,51,90,29,97,17,
2023-05-07,46,84,18,90,17,
2023-05-08,47,78,31,100,11,52.8
2023-05-09,49,87,20,84,17,
2023-05-10,46,80,24,97,18,
2023-05-11,48,74,21,85,18,
2023-05-12,51,80,26,92,22,
2023-05-13,49,87,14,99,29,
2023-05-14,49,79,27,96,27,
2023-05-15,52,84,25,75,30,
2023-05-16,48,87,19,100,38,
2023-05-17,44,83,21,100,32,
2023-05-18,49,84,21,91,36,
2023-05-19,48,83,17,99,41,
2023-05-20,48,96,16,100,41,
2023-05-21,49,89,21,100,40,52.2
2023-05-22,48,85,25,93,29,
2023-05-23,49,76,19,76,27,
2023-05-24,43,80,16,97,39,
2023-05-25,50,75,24,93,27,53.599
2023-05-26,49,58,26,59,22,
2023-05-27,51,90,27,83,22,
2023-05-28,52,71,24,74,22,
2023-05-29,52,88,24,91,33,
2023-05-30,54,78,31,71,23,
2023-05-31,50,70,20,83,26,
2023-06-01,48,83,28,97,26,53.5
2023-06-02,48,82,24,93,29,
2023-06-03,50,86,20,86,34,
2023-06-04,51,78,23,94,34,
2023-06-05,48,84,27,100,30,
2023-06-06,46,80,25,78,33,
2023-06-07,50,69,32,69,13,
2023-06-08,47,78,24,85,22,
2023-06-09,48,87,16,100,47,
2023-06-10,50,83,27,93,30,
2023-06-11,50,63,38,77,6,53.6
2023-06-12,51,55,22,55,9,
2023-06-13,51,82,23,91,30,
2023-06-14,48,87,25,93,30,
2023-06-15,49,75,25,83,27,
2023-06-16,49,82,21,84,27,
2023-06-17,49,86,25,97,26,
2023-06-18,49,76,28,84,20,
2023-06-19,49,84,22,88,23,
2023-06-20,53,78,23,77,35,
2023-06-21,51,79,24,90,31,
2023-06-22,47,,19,94,49,
2023-06-23,48,91,25,100,29,
2023-06-24,50,81,31,83,16,
2023-06-25,48,80,29,79,21,
2023-06-26,53,81,27,72,28,
2023-06-27,51,89,22,89,38,
2023-06-28,49,84,28,94,23,
2023-06-29,48,72,41,84,5,
2023-06-30,53,75,25,49,6,
2023-07-01,48,90,19,100,38,
2023-07-02,52,82,29,81,17,53.2
2023-07-03,54,82,25,69,23,
2023-07-04,52,86,25,78,36,
2023-07-05,47,63,24,100,35,
2023-07-06,51,70,20,88,38,
2023-07-07,51,69,25,85,31,
2023-07-08,50,80,30,85,19,
2023-07-09,51,80,24,75,22,
2023-07-10,51,88,25,91,30,
2023-07-11,49,79,23,92,32,
2023-07-12,46,79,29,97,22,
2023-07-13,54,48,31,50,19,
2023-07-14,49,90,23,100,27,
2023-07-15,54,46,36,51,18,
2023-07-16,51,77,22,77,18,
2023-07-17,54,78,22,77,28,
2023-07-18,49,78,26,95,25,53.0
2023-07-19,49,74,31,88,21,
2023-07-20,50,80,22,88,30,
2023-07-21,47,76,21,100,41,
2023-07-22,48,79,25,97,31,
2023-07-23,49,71,25,93,26,
2023-07-24,51,70,27,63,26,
2023-07-25,53,39,34,70,15,
2023-07-26,49,71,30,72,15,
2023-07-27,46,85,16,100,21,
2023-07-28,45,85,21,100,33,
2023-07-29,48,78,51,90,8,
2023-07-30,53,49,28,43,6,
2023-07-31,50,82,24,93,33,
2023-08-01,50,83,26,92,33,
2023-08-02,47,84,28,98,25,
2023-08-03,53,79,26,83,30,
2023-08-04,46,88,20,100,33,
2023-08-05,48,83,26,97,30,
2023-08-06,50,83,36,90,11,
2023-08-07,52,70,26,67,18,
2023-08-08,50,82,22,93,25,
2023-08-09,51,82,30,84,18,
2023-08-10,47,80,24,84,22,52.299
2023-08-11,48,90,30,97,20,
2023-08-12,53,46,30,58,15,
2023-08-13,53,80,24,68,17,
2023-08-14,49,84,22,93,40,
2023-08-15,49,73,23,85,26,
2023-08-16,48,90,33,98,14,
2023-08-17,49,73,21,62,11,
2023-08-18,47,83,27,100,26,
2023-08-19,49,79,25,83,26,
2023-08-20,43,73,37,89,6,
2023-08-21,52,51,30,45,6,
2023-08-22,49,61,20,95,16,
2023-08-23,48,85,25,95,30,
2023-08-24,48,89,25,98,30,
2023-08-25,51,50,41,81,14,
2023-08-26,53,72,32,55,14,
2023-08-27,53,84,33,75,14,
2023-08-28,54,74,27,67,19,
2023-08-29,51,77,25,83,22,
2023-08-30,47,83,27,93,19,
2023-08-31,52,43,28,51,21,
2023-09-01,49,76,23,85,30,
2023-09-02,49,85,26,91,29,
2023-09-03,50,76,32,86,11,
